word,mark,definition,pronunciation,example
[and] yet,,,,
[is] likewise,,,,
~ism,,,,
a la carte,,,,
a lot,,,,
a posteriori,,arriving at a principled conclusion as a result of an examintion of the facts; reasoning from the particular to the generallity,,
a priori,,relating to or denoting reasoning or knowledge which proceeds from theoretical deduction rather than from observation or experience.,"""a priori assumptions about human nature""",
abacus,,,,
abandon; abandonment,,,,
abase; abasement,,"to lower in rank, prestige, or esteem; belittle",uh BAYS,
abash,,"to make ashamed, to embarrass",,
abate; abatement,,to subside; to reduce,The risk of financial ruin abated,
abdicate; abdication,,"to renounce or relinquish, especially in a formal manner",,He abdicated his responsibility
abduct,,,,
aberration,,deviation from the standard,,
abhor,,"to hate very, very much; to detest utterly",ab HOR,Most people abhor the thought of public speaking.
abide [by]; abiding,,to endure without yielding; to submit to,We will abide by the decision of the court.,
ability; inability [to],,,,
abject,,"utterly hopeless, miserable, humiliating; contemptible; despicable",,
abjure,,to repudiate; to take back; to refrain from; to disclaim formally or disclaim upon oath; to renounce or turn back on a belief or a position you once held with vigor,ab JOOR,
able; unable,,,,
abnegate; abnegation,,to deny oneself things; to reject; to renounce (for a greater good),,
abolish; abolition,,,,
abominate,,to dislike strongly; to regard with intense aversion or loathing; to detest,uh BOM uh nate,He abominates the twelve hour drive.
"abort, aborted",,to end something before it is completed,,
abortive,,unsuccessful; fruitless,The rebels made an abortive attempt to capture the radio station.,
abound; abounding,,to occur or exist in great quantities or numbers,,
abrasive,,,,
abridge,,to shorten; to condense; to curtail; to diminish,uh BRIJ,
abrogate; abrogated,,to abolish or repeal formally; to rescind; to nullify,AB ruh gayt,
abrupt; abruptly,,,,
abscond,,"to depart in a quiet, sudden, and secret manner, especially to avoid capture and legal prosecution:",,
absence [of] / presence; absent / present,,,,
absentia,,,,
absolute,,something that is not dependent upon external conditions,,
absolution,,,,
absolve; absolvable; absolved; absolution,,"to clear of guilt or blame, release from consequences",,
abstain [from]; abstention,,,,
abstain [in],,to voluntarily withhold from; to hold oneself back; to refrain from,Alcoholics must abstain from any indulgence in alcoholic drinks.,
abstinent; abstinence,,abstaining; voluntarily not doing something when tempted,,
abstract; abstraction,,theoretical; impersonal; conceptual,antonym: actual; real; material,
abstruse,,difficult to understand,ab STROOS,many abstruse theories; directions to the party were very abstruse
absurd; absurdity,,,,
abundant; abundance,,,,
abuse; abusive,,,,
abyss,,a bottomless pit; a yawning gulf; a profound depth or void,uh BISS,The lost spaceship wandered aimlessly in the vast abyss of the galaxy.; They were disheartened and faced an emotional abyss of despair.; staring down the abyss of the mine shaft
academician,,,,
accede [to],,,,
accede; accessions,,"to give consent, approval, or adherence; agree; assent",ak SEED,
accelerant,,,,
accentuate,,to highlight; to emphasize or stress; to accent,ak SEN choo wayt,deepened and accentuated by
acceptable; acceptability,,,,
accesory; accessories [to],,,,
accession,,"something added, as to a collection or formal group",,
accommodate; accomodating,,,,
"acclimate, acclimation; acclimated",,to accustom or become accustomed to a new climate  or environment; adapt,,
accolade,,an award; an honor; approval; praise,AK uh layd,receieved accolades for …
accommodate; accommodative,,,,
accompany; accompanied; accompanying,,,accompanied [with] (referring to objects); accompanied [by] (referring to persons),
accomplice,,,,
accorded,,,,
accordingly,,,,
"accost, accosted",,to approach and speak to someone aggressively,,
account,,,by many accounts,
accountable,,,accountable for (referring to actions); accountable to (referring to persons),
accrete,,to increase by growth or addition,,
accretion,,something that has been added that doesn't necessarily belong,,
accretive,,an increase by natural growth or by gradual external addition,uh-kree-tiv,
acerbic,,harsh or severe in temper or expression,,
acidulous,,slightly sour in taste or in manner; slightly sour; sourish; biting; caustic,,
acknowledge; acknowledgement; acknowledging,,,,
acquiesce [to]; acquiescence,,"to accept, comply, or submit quietly and passivelyto accept, comply, or submit quietly and passively",,
acquisition,,,,
acquisitive,,seeking or tending to acquire,uh KWIZ uh tiv,
acquit; acquittal,,to find not guilty; to behave or conduct onself,uh KWIT,
acrid,,extremely or sharply stinging or bitter; exceedingly caustic,,
acrimonious,,angry; bitter; disputed,,
