word,english,japanese,example,present,teForm,negative,past,pastNegative,potential,imperative,volitional,group,desirative,conditional,passive,causative,causativePassive,honorific,humble,mark
kajiritsuku,to bite into; to stick to,齧り付く,,,,,,,,,,,,,,,,,,
hana,nose,鼻,,,,,,,,,,,,,,,,,,
nezumi iro,gray; grey,鼠色,,,,,,,,,,,,,,,,,,
damaru,to be quiet; to be silent; to stop talking,黙る,,damarimasu,damatte; damaranakute,damaranai; damarimasen,damatta; damarimashita,,,,,,,,,,,,,
kokuban,black board,黒板,,,,,,,,,,,,,,,,,,
kuroji,surplus,黒字,赤字（あかじ）／黒字　deficit/surplus,,,,,,,,,,,,,,,,,
kokujin,black person; African American,黒人,,,,,,,,,,,,,,,,,,
kuroi,black,黒い,,kuroi desu,kurokute,kurokunai,kurokatta,,,,,,,,,,,,,
ougon,gold,黄金,,,,,,,,,,,,,,,,,,
kiiro,yellow,黄色,,,,,,,,,,,,,,,,,,
kimi,egg yolk,黄み,,,,,,,,,,,,,,,,,,
men; nuudoru; menrui,noodles,麺類（めんるい）,,,,,,,,,,,,,,,,,,
fumoto,foot (of a mountain or hill); bottom; base,麓,,,,,,,,,,,,,,,,,,
naru,to sound; to ring; to resound; to echo; to roar; to rumble,鳴る,kaminari ga narihajimeta. (The thunder began to roar.),narimasu,,,,,,,,,,,,,,,,
nakigoe,cry of animal; animal sound,鳴き声,,,,,,,,,,,,,,,,,,
hato,pigeon; dove,鳩,,,,,,,,,,,,,,,,,,
sengyo,fresh fish,鮮魚,,,,,,,,,,,,,,,,,,
uoichiba,fish market,魚市場,,,,,,,,,,,,,,,,,,
sakana,fish,魚,,,,,,,,,,,,,,,,,,
mahou,magic; witchcraft,魔法,,,,,,,,,,,,,,,,,,
miryokuteki,fascinating,魅力的,,,,,,,,,,,,,,,,,,
miryoku,appeal; charm; attraction,魅力,魅力的な (appealing; charming),,,,,,,,,,,,,,,,,
takanaru,to throb; to beat fast,高鳴る,,takanarimasu,,,takanarimashita,,,,,,,,,,,,,
takameru,to raise; to lift; to boost; to enhance,高める,,,,,,,,,,,,,,,,,,
takai,high; tall; expensive,高い,"takakattara kaimasen. (If it is expensive, I will not buy it.)野菜が高いです。yasai ga takai desu. The vegetables are expensive. 最高 sai kou - the highest; the best; supremetakaku (expensive)",takai desu,takakute; takakunakute,takakunai; takaku arimasen,takakatta; takai deshita,,,,,,,takakereba; takaku nakereba; takai nara,,,,,,
kottouhinten,antique shop,骨董品店,,,,,,,,,,,,,,,,,,
honegumi,framework; skeleton,骨組み,,,,,,,,,,,,,,,,,,
kossetsu suru,to fracture (a bone),骨折する,,,,,,,,,,,,,,,,,,
odoroku,to be surprised; to be amazed; to be astonished,驚く,驚き (surprise (n)),,odoroite,odorokanai,odoroita; odorokimashita,,,,,,,,,,,,,
damasu,to trick; to cheat; to deceive,騙す,彼は彼女をだまして車を買わせた。(He tricked her into buying a car.),damashimasu,damashite,damasenai,,,damaseru,,,,,,damasareru,,,,,
zawameku,to be noisy; to be astir; to rustle; to murmur,騒めく,,,,,,,,,,,,,,,,,,
sawagu,to make noise; to be rowdy,騒ぐ,,sawagimasu,sawaide,,sawaida,,,sawagu na,,,,,,,,,,
chuushajou,parking lot; parking garage; car park,駐車場,,,,,,,,,,,,,,,,,,
kuchiku,extermination; expulsion; destruction,駆逐,,,,,,,,,,,,,,,,,,
kakenoboru,"to run up (a hill, stairs, etc.)",駆け登る,,,kakenobotte,,,,,,,,,,,,,,,
kakeyoru,to rush over; to run up to,駆け寄る,,kakeyorimasu,,,kakeyorimashita,,,,,,,,,,,,,
kakemawaru,to run around; to bustle about,駆け回れう,,,kakemawatte,,kakemawatta,,,,,,,,,,,,,
kakeagaru,to run up,駆け上がる,,,,,,,,,,,,,,,,,,
ekiinshitsu,the station office,駅員室,,,,,,,,,,,,,,,,,,
dame [na],not okay; no good; not good; ; won't do; cannot; must not; useless; bad; not allowed; broken,駄目,furo wa dame desu. (A bath is not good.); Dame (da yo)! (Stop that!; Don't do that!; Stop doing that!); 危ない所へ行ってはだめです。(You are not allowed to go to a dangerous place.),dame desu,dame de,,,,,,,,,,,,,,,
kouro,incense burners,香炉,,,,,,,,,,,,,,,,,,
honkon,Hong Kong,香港,,,,,,,,,,,,,,,,,,
kousui,perfume,香水,,,,,,,,,,,,,,,,,,
shushou,prime minister,首相,,,,,,,,,,,,,,,,,,
gyouza,Japanese crescent-shaped pan-fried dumplings stuffed with minced pork and vegetables,餃子,,,,,,,,,,,,,,,,,,
akiru,to get tired of; to have enough; to lose interest in; to be satiated with,飽きる,akiru hodo (until I get tired/bored of ~); benkyou akita (got tired of studying); Kono hon wa nando yondemo akinai. (I never get tired of reading this book.),akimasu,akite,,akita,,,,,,,,,,,,,
kau,to own (a pet); to keep an animal,飼う,犬を飼う; 一匹も飼っていません。(I don't have any pets.),,,,,,,,,,,,,,,,,
inryou,beverage; drink,飲料,,,,,,,,,,,,,,,,,,
nomu,to drink; to hold one's breath,飲む (trans.),飲み過ぎじゃない？(Haven't you drunk too much?),nomimasu,nonde; nomanakute,nomanai; nomimasen,nonda; nomimashita,nomanakatta; nomimasen deshita,nomeru,nome; nominasai; nomu na,nomou; nomimashou,u-dropping verbs,nomitai; nomitakunai,nomeba; nondara; nomimashitara; nomanakereba; nomanakattara; nomimasen deshitara,nomareru,nomaseru,nomaserareru; nomasareru,meshiagarau; onomi ni naru; nomareru,,
shokuhi,food cost,食費,,,,,,,,,,,,,,,,,,
shokuyoku,appetite (for food),食欲,食欲がありません。 (I have no appetite.),,,,,,,,,,,,,,,,,
shokuryou,food,食料,,,,,,,,,,,,,,,,,,
shokudou,dining room; cafeteria,食堂,,,,,,,,,,,,,,,,,,
shokkiaraiki,dishwasher,食器洗い機,,,,,,,,,,,,,,,,,,
shokkidana,cupboard,食器棚,,,,,,,,,,,,,,,,,,
shokki,"tableware; cups, plates, etc.",食器,,,,,,,,,,,,,,,,,,
shokuji suru,to eat a meal,食事する,,,,,,,,,,,,,,,,,,
shokuji,lunch,食事,,,,,,,,,,,,,,,,,,
taberu,to eat; to live on,食べる,,tabemasu,tabete; tabenakute,tabenai; tabemasen,tabeta; tabemashita,tabenakatta; tabemasen deshita,taberareru; tabereru,tabero; tabenasai; taberu na,tabeyou; tabemashou,ru-dropping,tabetai; tabetaku nai; tabetaku arimasen; tabetagaru (3rd person),tabereba; tabetara; tabemashitara; tabenakattara; tabenakareba; tabemasen deshitara,taberareru,tabesaseru,tabesaserareru,meshiagaru; otabe ni naru; taberareru,,
kuu,to eat; to live; to make a living; to survive; to bite; to sting,食う,,kuimasu,,,,,,,,,,,,,,,,
kuitsuku suru,to consume; to devour,食い尽くする,,,,,,,kuitsukareru,,,,,,,,,,,
hikouki,airplane,飛行機,飛行機の切符 (airplane ticket),,,,,,,,,,,,,,,,,
tobu,to jump; to fly; to leap; to soar,飛ぶ,,tobimasu,tonde,tobanai,tonda,,toberu,,,,,,,,,,,
tobikomu,to jump; to jump in; to leap in; to plunge into; to dive,飛び込む,,,tobikonde,,,,,,,,,,,,,,,
tobidasu,to spring out; to jump out; to rush out; to fly out; to appear suddenly; to protrude; to butt in,飛び出す,,,,,,,,,,,,,,,,,,
tobitsuku,to jump at; to be attracted by,飛び付く,,tobitsukimasu,tobitsuite,,tobitsuita,,,,,,,,,,,,,
tobasu,to fly; to fire; to hurl; to launch; to make fly,飛ばす (trans.),,,,,,,,,,,,,,,,,,
kaze wo hiku,to catch a cold,風邪をひく,,,hiite,,hiita; hikimashita,,,,,,,,,,,,,
fuuhyou,rumor; gossip; false report,風評,,,,,,,,,,,,,,,,,,
