word,id,mark,definition,pronunciation,example
[and] yet,2811badf-6328-48b0-b0a3-25a4446f64c8,false,,,
[is] likewise,5a96fcb3-7311-4d58-b4fe-514f8a26b14e,false,,,
~ism,3e6f85ea-5cbe-48c4-babb-892623b9216e,false,,,
a la carte,49a1adab-b3da-49a6-96fe-1e3cf44c7abf,false,,,
a lot,3d486dee-80db-4de0-ae30-0738b81f7a68,false,,,
a posteriori,a2dd5eef-e363-4bcd-a103-c96f0b43c0bb,false,arriving at a principled conclusion as a result of an examintion of the facts; reasoning from the particular to the generallity,,
a priori,ef3139b5-2819-47c0-8736-97d09451afb5,false,relating to or denoting reasoning or knowledge which proceeds from theoretical deduction rather than from observation or experience.,"""a priori assumptions about human nature""",
abacus,eaedc2cd-3d4a-4f2e-9fb0-234dfc514256,false,,,
abandon; abandonment,613a1ba7-1a33-4560-a7c7-348ee8785fce,false,,,
abase; abasement,43443cde-10d4-4abf-90c2-e371a853bc11,false,"to lower in rank, prestige, or esteem; belittle",uh BAYS,
abash,b0f6efb5-7af3-4467-991b-3757a9e87959,false,"to make ashamed, to embarrass",,
abate; abatement,dfa47dcb-a547-4d46-ae75-a1cf73b344e5,false,to subside; to reduce,The risk of financial ruin abated,
abdicate,09ba3b4a-12ab-4975-9ff7-c56ee8614d6d,false,"to renounce or relinquish, especially in a formal manner",He abdicated his responsibility,
abduct,09902bfb-84a1-4e92-8c94-f59f85cc3f61,false,,,
aberration,f3964335-9fa1-4be4-afeb-cdeee804f676,false,deviation from the standard,,
abhor,2f813862-244e-4b08-ab15-d2d2e8c9c0bd,false,"to hate very, very much; to detest utterly",ab HOR,Most people abhor the thought of public speaking.
abide [by]; abiding,1e86d143-ab10-4001-ab8a-f858f87f2534,false,to endure without yielding; to submit to,We will abide by the decision of the court.,
ability; inability [to],b5fb6a44-3103-48f2-9bff-d1228f575714,false,,,
abject,e7cda5d7-aee3-40fb-a59a-6f8be78318d2,false,"utterly hopeless, miserable, humiliating; contemptible; despicable",,
abjure,a3f7fc96-8a69-4ec2-8777-ee19599aaf8d,false,to repudiate; to take back; to refrain from; to disclaim formally or disclaim upon oath; to renounce or turn back on a belief or a position you once held with vigor,ab JOOR,
able; unable,5c6dc622-8604-4e61-823c-1339d63b254e,false,,,
abnegate,31dfb6dd-94dc-4c3e-aeb7-978af1c753f4,false,to deny oneself things; to reject; to renounce (for a greater good),,
abnegate; abnegation,50314565-91ad-4442-bc25-fc192377ce06,false,,,
abolish; abolition,dfd9bf93-2ba3-410a-8106-f1c059c7ffd2,false,,,
abominate,448ae19e-457a-42de-b113-8ab8122d08f3,false,to dislike strongly; to regard with intense aversion or loathing; to detest,uh BOM uh nate,He abominates the twelve hour drive.
"abort, aborted",fe9ec419-0b5c-4e9c-be86-d068a1a421a6,false,to end something before it is completed,,
abortive,111b54a7-bc29-47a0-80b9-70c085044b5d,false,unsuccessful; fruitless,The rebels made an abortive attempt to capture the radio station.,
"abound, abounding",beeb0bc8-8264-4ce7-8df7-2c0092462b58,false,to occur or exist in great quantities or numbers,,
abrasive,73203db6-7ebf-470c-96b2-607e45962256,false,,,
abridge,da1e2441-4a67-47ee-b112-9b5b29f44234,false,to shorten; to condense; to curtail; to diminish,uh BRIJ,
abrogate; abrogated,67f04dac-b5e1-41d7-ad7d-6d598c4344de,false,to abolish or repeal formally; to rescind; to nullify,AB ruh gayt,
abrupt; abruptly,90b665c5-8c4d-4a03-ada1-0991ebf8ffaa,false,,,
abscond,4c569892-a918-4908-a4ba-ac35297a4dec,false,"to depart in a quiet, sudden, and secret manner, especially to avoid capture and legal prosecution:",,
absence [of] / presence; absent / present,22e8580e-792c-4308-ae15-1f6d4b59ff77,false,,,
absentia,cdcc9c0b-1aaf-4eec-8a36-5959211ef83c,false,,,
absolute,d056b64f-6007-4be6-837f-9e1ed58d8ec8,false,something that is not dependent upon external conditions,,
absolution,ba9e0c99-3958-4f80-bea9-43afe18f6020,false,,,
"absolve, absolution",abc9868e-550d-48d9-874a-fb1e29b3d0c2,false,"to clear of guilt or blame, release from consequences",,
abstain [from]; abstention,7edbc57c-b066-45a7-93a6-0f7b441be230,false,,,
